id	thread_id	source_id	body	user_name	last_edited	upvotes	downvotes
0	0	1	Dear members  I am posting to let you know about upcoming plans for doc2doc and plans to develop new channels for discussion and debate across all BMJ products.  doc2docs launch eight years ago pre-dated the rise of Twitter, Facebook, and other social media channels for debating the latest clinical developments. However, over time BMJ has seen more of its readers and customers use these platforms for this purpose.  Because of this continuing trend BMJ has decided to close doc2doc. This was a very difficult decision to make because doc2doc has so many loyal, articulate members. Many at BMJ have greatly appreciated its value as a platform to establish what clinicians worldwide think about particular topics and ideas.  doc2docs success as an online community is due, in no small part, to your hard work and we want to take this opportunity to thank you for all your contributions over the years.  BMJs focus over the coming months is to consider what a successor to doc2doc might look like. Current thinking is perhaps the launch of a BMJ branded community platform that straddles all BMJ products rather than a standalone site? Please let us know your thoughts on this.  In the meantime we hope to continue reading your views elsewhere on BMJ webpages. for example, in the form of:  Rapid responses to articles on thebmj.com  Comments on blogs from thebmj.com  Comments on BMJ Talk Medicine podcasts uploaded on SoundCloud   Comments on BMJ videos posted on YouTube.  Later this year we hope to revamp BMJ blogs. Plans are at an early stage, but we are confident that this new resource will appeal to doc2docs eloquent following. We will keep you posted.  If you have any questions, please do not hesitate to get in touch.  Best wishes  Sabreena-kj696ieqatf81ai3mt1	Sabreena	8/6/2016 3:26 PM	0	0
1	0	1	Surely this is a mispost?      Close Doc to Doc?  With all the volumes of educational posts, from so many medical experts, and now the BMJ is going to close a truly useful tool?  This is pure lunacy.   AS with all things good, if it works, someone decides to stop it...      DuaneF-wnhv3k1bn6	DuaneF	9/6/2016 3:56 PM	0	0
2	0	1	Dear Sabreena Malik and David Payne:  Before putting here what I think, suggestions, opinions, etc........I would really like seeing sken, John D, Pat Lush, Kirked, skysteeve, DundeeChest, and other colleagues who live in the UK, so should have perhaps a better idea than I could have about this relationship of doc2doc with the BMJ.  Of course, anyone opinion and thoughts matter.  For now, it does not seem a good idea closing doc2doc, but Ill keep an open mind to this BMJ decision.  All Best,  Joey-8y	Joey Rio	10/6/2016 3:56 AM	0	0
3	0	1	Things change,   i would like to thank all the founding members and the current membership of doc to doc. When it started I was still working full time. Now I am retired and only working in a very part time capacity. I feel i have gained from doc to doc and I very much prefer the BMA to the RCGPs. i am in Worcester at the moment having been at a BMA social event at Worcester pottery museum last night.   I will consider using any form that evolves from Doc to Doc.   The first part of retirement has not been to bad, I am off on my motorcycle to travel to Portugal on Saturday!   My wife will fly and I hope to join her in Portugal in a few days.-gmryhv	PatLush	10/6/2016 6:48 AM	0	0
4	0	1	The niche filled by doc2doc is not covered as well by some of the alternatives but I can see it has had an adequate trial run (8 years....). The 2 areas where one had hoped to see more development was in encouraging its potential as an international discussion group for those in medical fields and at various stages of training. It has also been pro-active in developing ideas whereas some of the alternatives (eg BMA rapid responses) are essentially reactive and not as suitable for bouncing ideas into an arena for discussion. The alternative which seems to function best is doctors.net but it does not - and essentially cannot - have the international scope of doc2doc nor the inclusion of loosely related care professionals and can be very diverse. Personally I have never bothered with Twitter or Facebook so I can't really comment on those. I suspect I am just showing one of my prejudices.   My impression has been that users (not necessarily contributors) of doc2doc have included a wide range of folk interested in the broader aspects of medical care and with a wide range of expertise. Perhaps somewhere in the files of the BMJ a list should be kept of contact addresses should we e ever which to seek an opinion....-ky6au	sken	10/6/2016 10:18 AM	0	0
5	0	1	I was not a founder member of doc2doc but have made some contributions periodically over the last four years. Speaking for myself - as a non medic - it has been thoroughly enjoyable to interact with medical professionals of all specialities from different countries and of various levels of seniority.   My disappointment though is that closing doc2doc seems to have been made unilaterally by the BMJ organisation (which they are perfectly entitled to do) without soliciting from members suggestions how doc2doc might survive. It is probably the case that it would have been closed anyway but it might have been possible for it to continue in another incarnation (not rapid responses etc). I cannot believe it requires huge sums of money or massive input by a large team to keep it moving along, so presumably it is that it no longer 'fits' with whatever the broader plan for BMJ might be. Is there sufficient interest and support to keep it going? Is there the will at BMJ to keep it going?   About six weeks ago I like many others were told the site was to close and asked to say nothing. I felt very uncomfortable with that. It didn't seem right that folk might start new threads or join the site when the curtain was to fall imminently. Nevertheless the decision seems irrevocable and I shall miss our conversations on such a wide range of topics. It cannot be denied however that posting activity has ebbed and flowed and more lately has dwindled.   Just looking back at the range of topics discussed from medical news to more complex medical conditions, research, Medicolegal case reports etc illustrates the breadth of knowledge and experience that could be available to those with a query and presumably will remain available through internet caches for some time to come.   I would be interested to know the opinions on closing from our respected members abroad - Joey Rio et al. Perhaps those of us that wish to do so can keep an informal network together.   It would be absolutely remiss not to thank John D for his incredible committment to doc2doc as contributor and moderator for several years. He has always been active starting and contributing to discussions whilst having to constantly bat away advertisements, patients' requests for advice and miscellaneous inappropriate posts. Much appreciated John.   kirked-5d5d24	kirked	10/6/2016 11:56 AM	0	0
6	0	1	"""have made some contributions"" ? kirked , you have made some major cotributions and helped us to keep on our medico-legal toes. Many thanks."	sken	10/6/2016 8:56 PM	0	0
7	0	1	Modesty forbids me not thanking kirked for such an encomium, and others who have written to me privately. Thank you!   I, too, have enjoyed D2D and all the argumentative, obstreperous, eloquent and authoritative street-fighters and savants who have contributed.  It's been a ball, colleagues.  I'll hope to meet you all again on whatever platform the BMJ chooses for future tourneys.   Meanwhile, there is nothing to stop you blogging or posting just a little bit more!   John-ftmylb4a9	John D	10/6/2016 9:03 PM	0	0
8	0	1	John,   What format will the next forum be? Or will there even be one?   This is all so wasteful, the Doc to Doc forum, was a dynamite forum, and of course must be closed since it was so useful. It appears that the wastefulness of America has spread to the UK, whatever works is abondened!!   DuaneF-i4hk8c4b1ca0	DuaneF	11/6/2016 1:19 AM	0	0
9	0	1	doc2doc has been one of the most favourable site to visit everyday, I usually have it the last thing before I go to bed, getting through the various posts and viewing different openions from colleagues worldwide, it is the link between us at times where your mind and body is relaxed; All would be greatly saddened by closing this lifely, vital, social, and educational channel ; nevertheless, we will continue our link and message through the various links and channels available	alaminium	11/6/2016 2:08 AM	0	0
